date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-11-02,153.96,157.98,151.9,157.74,69600850
2020-11-03,158.21,161.92,157.44,161.09,71067000
2020-11-05,163.81,165.25,161.99,163.7,73016160
2020-11-06,163.0,165.84,161.52,164.92,51633910
2020-11-09,166.72,171.5,164.9,170.13,103358560
2020-11-10,169.03,173.64,167.63,172.92,76531040
2020-11-11,173.5,175.15,170.26,170.53,72020230
2020-11-12,170.2,175.3,169.75,172.91,71917150
2020-11-13,172.88,181.27,172.42,180.3,104602920
2020-11-16,181.02,185.62,180.3,185.32,89217810
2020-11-17,185.1,185.31,178.83,182.9,99307240
2020-11-18,182.26,187.69,180.8,185.0,69101570
2020-11-19,185.2,185.88,181.92,184.16,53164780
2020-11-20,184.1,184.36,182.1,183.21,31836360
2020-11-23,183.64,185.63,182.77,184.15,41043100
2020-11-24,185.03,187.3,183.97,186.76,60674430
2020-11-25,187.01,188.76,185.85,188.03,51107720
2020-11-26,188.25,189.1,184.6,185.52,45706250
2020-11-27,185.13,186.75,182.56,185.9,49983540
2020-11-30,185.1,185.14,180.04,181.89,73156960
2020-12-01,182.6,188.09,181.78,185.34,67193810
2020-12-02,185.0,187.24,183.12,187.22,40191320
2020-12-03,186.98,187.58,184.37,185.12,35885290
2020-12-04,186.2,189.42,185.85,188.79,50684840
2020-12-07,188.22,192.85,187.8,190.76,53512780
2020-12-08,190.34,191.45,187.8,190.0,48382270
2020-12-09,190.3,193.09,189.05,189.35,52678040
2020-12-10,189.55,193.51,188.67,192.95,54318200
2020-12-11,193.05,201.63,192.31,201.5,103060380
2020-12-14,203.5,207.85,198.78,199.91,122788480
2020-12-15,199.01,202.29,197.05,201.0,65473740
2020-12-16,201.01,206.2,199.54,206.2,75214780
2020-12-17,206.7,215.38,206.51,214.52,159538150
2020-12-18,214.0,214.5,207.22,212.69,133717910
2020-12-21,209.91,209.99,200.8,203.46,123517830
2020-12-22,200.74,210.68,199.19,208.4,109794540
