date,price,open,max,min,volume,change
2023-02-27,82.45,83.19,83.6,81.73,58.85,-0.45
2023-02-24,82.82,82.33,83.09,80.75,289.76,1.06
2023-02-23,81.95,80.31,82.46,80.25,293.33,1.86
2023-02-22,80.45,82.5,82.96,80.3,297.26,-3.13
2023-02-21,83.05,83.86,84.2,82.56,231.63,-1.21
2023-02-20,84.07,83.15,84.3,82.73,143.85,1.29
2023-02-17,83.0,84.6,84.87,81.8,303.66,-2.51
2023-02-16,85.14,85.27,86.21,84.6,197.02,-0.28
2023-02-15,85.38,85.2,85.85,83.88,245.98,-0.23
2023-02-14,85.58,85.83,86.42,84.13,231.63,-1.19
2023-02-13,86.61,86.51,86.95,85.1,207.62,0.25
2023-02-10,86.39,84.22,86.9,83.93,297.34,2.24
2023-02-09,84.5,84.96,85.5,83.05,260.73,-0.69
2023-02-08,85.09,84.11,85.15,83.51,254.14,1.67
2023-02-07,83.69,81.26,84.13,81.19,290.98,3.33
2023-02-06,80.99,79.61,81.43,79.1,325.21,1.31
2023-02-03,79.94,82.27,84.2,79.62,330.32,-2.71
2023-02-02,82.17,83.34,83.61,81.25,287.09,-0.81
2023-02-01,82.84,85.56,86.21,82.37,348.66,-1.95
2023-01-31,84.49,85.18,85.25,83.73,11.89,-0.48
2023-01-30,84.9,86.88,87.48,84.66,65.55,-2.03
2023-01-27,86.66,87.65,88.95,85.69,107.08,-0.93
2023-01-26,87.47,86.35,88.01,85.74,139.1,1.57
2023-01-25,86.12,86.28,87.0,85.41,159.47,-0.01
2023-01-24,86.13,88.07,88.71,85.8,207.75,-2.34
2023-01-23,88.19,87.7,89.09,86.92,192.41,0.64
2023-01-20,87.63,86.42,87.79,85.58,212.92,1.71
2023-01-19,86.16,84.34,86.85,83.76,250.96,1.39
2023-01-18,84.98,86.45,87.85,84.36,288.15,-1.09
2023-01-17,85.92,84.2,86.82,84.04,238.3,1.73
2023-01-16,84.46,85.36,85.59,83.83,125.96,-0.96
2023-01-13,85.28,83.91,85.5,83.5,217.4,1.49
2023-01-12,84.03,82.88,84.62,82.37,264.07,1.65
2023-01-11,82.67,79.52,83.0,79.31,273.79,3.21
2023-01-10,80.1,79.54,80.89,78.81,244.35,0.56
2023-01-09,79.65,78.42,81.37,78.42,245.12,1.37
2023-01-06,78.57,78.8,80.59,78.05,215.42,-0.15
2023-01-05,78.69,78.16,79.97,77.61,259.58,1.09
2023-01-04,77.84,82.31,82.72,77.72,319.31,-5.19
2023-01-03,82.1,85.96,87.0,81.78,302.86,-4.43
2022-12-30,85.91,83.71,86.0,82.88,168.65,4.44
2022-12-29,82.26,82.88,83.14,81.28,10.99,-1.2
2022-12-28,83.26,84.6,84.76,81.92,57.56,-1.68
2022-12-27,84.68,85.0,86.1,84.19,160.09,0.21
2022-12-23,84.5,82.32,84.7,81.83,180.4,3.47
2022-12-22,81.67,82.93,84.21,81.35,211.18,-1.1
2022-12-21,82.58,80.53,82.92,80.06,178.09,2.55
2022-12-20,80.53,80.6,81.19,79.0,184.12,0.49
2022-12-19,80.14,79.49,81.19,79.02,164.92,0.82
