date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020-10-22,7.85,7.95,7.85,7.85,700
2020-10-23,7.95,8.75,7.95,8.0,288800
2020-10-26,8.1,8.25,7.95,8.1,23000
2020-10-27,8.1,8.1,7.9,8.05,9300
2020-10-28,8.05,8.05,7.9,8.05,4100
2020-10-29,7.9,7.9,7.7,7.85,18500
2020-10-30,7.8,7.85,7.5,7.75,22900
2020-11-02,7.7,7.9,7.7,7.9,8000
2020-11-03,7.85,7.9,7.8,7.85,3400
2020-11-05,7.7,7.95,7.55,7.9,17400
2020-11-06,7.9,7.95,7.8,7.9,8700
2020-11-09,7.85,7.95,7.8,7.95,19100
2020-11-10,8.0,8.1,7.85,8.0,7700
2020-11-11,8.1,8.1,7.9,8.0,5800
2020-11-12,8.1,8.2,8.05,8.1,5200
2020-11-13,8.1,8.1,8.0,8.0,3700
2020-11-16,8.1,8.15,8.0,8.0,4700
2020-11-17,8.1,8.15,7.9,8.05,14200
2020-11-18,8.0,8.0,7.9,8.0,4300
2020-11-19,7.95,8.0,7.9,8.0,3000
2020-11-20,7.9,8.0,7.9,8.0,3300
2020-11-23,8.0,8.15,8.0,8.0,8200
2020-11-24,8.0,8.1,7.95,8.05,15800
2020-11-25,8.05,8.05,7.9,8.0,8400
2020-11-26,7.95,8.5,7.85,8.2,35700
2020-11-27,8.3,8.75,8.1,8.3,92000
2020-11-30,8.2,8.25,8.0,8.15,29900
2020-12-01,8.15,8.2,8.1,8.15,3100
2020-12-02,8.15,8.5,8.05,8.25,46600
2020-12-03,8.35,8.35,8.15,8.25,4500
2020-12-04,8.2,8.5,8.2,8.35,18500
2020-12-07,8.35,8.4,8.1,8.35,9000
2020-12-08,8.35,8.5,8.15,8.35,8500
2020-12-09,8.35,8.35,8.2,8.2,3600
2020-12-10,8.15,8.9,8.05,8.25,215100
2020-12-11,8.1,8.25,8.0,8.2,38300
2020-12-14,8.1,8.2,8.0,8.1,8800
2020-12-15,8.2,8.3,7.9,8.15,19500
2020-12-16,8.2,8.2,8.05,8.2,5200
2020-12-17,8.2,8.3,8.1,8.3,2600
2020-12-18,8.25,8.35,8.0,8.15,30600
2020-12-21,8.15,8.15,7.9,8.1,13200
2020-12-22,8.1,8.25,7.9,8.2,11000
2020-12-23,8.2,8.2,8.1,8.1,700
2020-12-24,8.15,8.25,8.05,8.25,6900
2020-12-25,8.2,8.25,8.05,8.2,7400
2020-12-28,8.2,8.25,8.05,8.2,24300
2020-12-29,8.2,8.2,8.05,8.2,2000
2020-12-30,8.2,8.25,8.1,8.2,900
2021-01-04,8.25,8.45,8.15,8.3,22500
2021-01-05,8.45,8.5,8.2,8.35,20800
2021-01-06,8.35,8.4,8.2,8.35,17900
2021-01-08,8.4,8.5,8.25,8.35,5600
2021-01-11,8.4,8.65,8.2,8.3,22700
2021-01-12,8.3,8.35,8.25,8.35,8300
2021-01-13,8.35,11.0,8.35,8.45,1414000
2021-01-14,8.55,8.7,8.25,8.35,171300
2021-01-15,8.3,8.85,8.1,8.35,233800
2021-01-18,8.35,8.5,8.3,8.35,19100
2021-01-19,8.3,8.45,8.3,8.35,53600
2021-01-20,8.3,8.55,8.3,8.4,21100
2021-01-21,8.55,8.6,8.3,8.35,23300
2021-01-22,8.3,9.35,8.25,8.6,347700
2021-01-25,8.75,8.85,8.2,8.45,96600
2021-01-26,8.5,8.5,8.25,8.45,69000
2021-01-27,8.4,8.45,8.3,8.4,18300
2021-01-28,8.3,8.35,8.2,8.25,28600
2021-01-29,8.3,8.35,8.2,8.2,21600
2021-02-01,8.3,8.3,8.2,8.25,14100
2021-02-02,8.2,8.3,8.15,8.25,21500
2021-02-03,8.35,8.35,8.15,8.25,10300
2021-02-04,8.3,8.4,8.3,8.35,14400
2021-02-05,8.3,8.35,8.25,8.35,5800
2021-02-08,8.35,8.45,8.25,8.35,29600
2021-02-09,8.4,8.4,8.25,8.25,18000
2021-02-10,8.3,8.4,8.3,8.35,18500
2021-02-11,8.35,8.4,8.25,8.4,3600
2021-02-12,8.4,8.4,8.3,8.4,3000
2021-02-15,8.3,8.4,8.3,8.35,6400
2021-02-16,8.35,8.4,8.3,8.4,800
2021-02-17,8.35,8.4,8.25,8.35,8700
2021-02-18,8.35,8.35,8.25,8.3,13500
2021-02-19,8.35,9.5,8.15,8.5,514100
2021-02-20,8.55,8.7,8.3,8.5,73000
2021-02-22,8.35,8.8,8.35,8.5,57600
2021-02-24,8.5,8.55,8.25,8.35,38700
