date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,Номинал,"Ставка купона,  % годовых",Размер выплаты
2021-02-01,97.31,97.31,97.31,97.31,0.0,0,0
2021-02-02,97.49,97.49,97.49,97.49,0.0,0,0
2021-02-03,97.4,97.4,97.4,97.4,0.0,0,0
2021-02-04,97.26,97.26,97.22,97.22,0.0,0,0
2021-02-05,97.21,97.21,97.21,97.21,0.0,0,0
2021-02-09,97.39,97.39,97.39,97.39,0.0,0,0
2021-02-11,97.21,97.21,97.21,97.21,0.0,0,0
2021-02-15,97.171,97.171,97.171,97.171,0.0,0,0
2021-02-16,97.35,97.35,97.35,97.35,0.0,0,0
2021-02-17,96.8,97.25,96.8,97.25,0.0,0,0
2021-02-18,97.2,97.2,97.199,97.199,0.0,0,0
2021-02-19,97.2,97.2,97.02,97.02,0.0,0,0
2021-02-20,97.2,97.2,97.2,97.2,0.0,0,0
2021-02-22,96.0,96.0,96.0,96.0,0.0,0,0
2021-02-24,97.181,97.181,97.151,97.151,0.0,0,0
2021-02-25,97.2,97.2,97.171,97.171,0.0,0,0
2021-03-01,97.25,97.25,97.161,97.161,0.0,0,0
2021-03-02,97.25,97.25,97.25,97.25,0.0,0,0
2021-03-03,97.161,97.25,97.161,97.25,0.0,0,0
2021-03-04,97.3,97.35,97.201,97.35,0.0,0,0
2021-03-09,97.251,97.251,97.251,97.251,0.0,0,0
2021-03-10,97.399,97.399,97.399,97.399,0.0,0,0
2021-03-11,97.399,97.399,97.38,97.38,0.0,0,0
2021-03-12,97.399,97.399,97.37,97.37,0.0,0,0
2021-03-15,97.399,97.449,97.399,97.449,0.0,0,0
2021-03-16,97.449,97.449,97.449,97.449,0.0,0,0
2021-03-18,97.351,97.351,97.351,97.351,0.0,0,0
2021-03-19,97.459,97.459,97.459,97.459,0.0,0,0
2021-03-22,97.459,97.6,97.459,97.549,0.0,0,0
2021-03-23,97.499,97.7,97.499,97.7,0.0,0,0
2021-03-24,97.61,97.61,97.61,97.61,0.0,0,0
2021-03-25,97.599,97.649,97.57,97.649,0.0,0,0
2021-03-29,97.599,97.599,97.599,97.599,0.0,0,0
2021-03-30,97.57,97.599,97.57,97.599,0.0,0,0
2021-03-31,97.57,97.599,97.57,97.599,0.0,0,0
2021-04-05,97.57,97.571,97.57,97.571,0.0,0,0
2021-04-06,98.0,98.0,97.599,97.599,0.0,0,0
2021-04-07,97.599,97.599,97.599,97.599,0.0,0,0
2021-04-08,97.599,97.599,97.599,97.599,0.0,0,0
2021-04-12,97.599,97.599,97.599,97.599,0.0,0,0
2021-04-13,97.599,97.599,97.57,97.57,0.0,0,0
2021-04-14,97.599,97.599,97.57,97.57,0.0,0,0
2021-04-16,98.0,98.0,97.4,97.4,0.0,0,0
2021-04-19,97.58,97.58,97.58,97.58,0.0,0,0
2021-04-20,97.8,97.8,97.58,97.58,0.0,0,0
2021-04-23,97.58,97.58,97.58,97.58,0.0,0,0
2021-04-26,97.403,97.403,97.402,97.402,0.0,0,0
2021-04-27,98.55,98.55,98.55,98.55,0.0,0,0
2021-04-29,97.401,97.58,97.4,97.58,0.0,0,0
2021-04-30,97.58,97.58,97.58,97.58,0.0,0,0
2021-05-04,97.58,97.58,97.58,97.58,0.0,0,0
2021-05-05,97.58,97.58,97.58,97.58,0.0,0,0
2021-05-07,98.55,98.55,97.41,97.41,0.0,0,0
2021-05-11,97.45,97.58,97.45,97.58,0.0,0,0
2021-05-13,97.58,97.58,97.58,97.58,0.0,0,0
2021-05-14,97.6,97.6,97.6,97.6,0.0,0,0
2021-05-18,97.601,97.65,97.601,97.65,0.0,0,0
2021-05-19,97.75,97.8,97.75,97.8,0.0,0,0
2021-05-20,98.099,98.099,98.099,98.099,0.0,0,0
2021-05-24,98.229,98.229,98.229,98.229,0.0,0,0
2021-05-25,98.4,98.5,98.399,98.5,0.0,0,0
2021-05-26,98.6,98.6,98.6,98.6,0.0,0,0
2021-05-27,98.6,98.6,98.6,98.6,0.0,0,0
2021-05-28,98.66,98.66,98.65,98.66,0.0,0,0
2021-05-31,99.0,99.55,98.84,98.84,0.0,0,0
2021-06-01,98.798,98.798,98.62,98.62,0.0,0,0
2021-06-02,98.8,98.8,98.8,98.8,0.0,0,0
