date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20211112,7061.5,7067.0,6835.0,6878.0,1938588
20211115,6852.0,6979.5,6815.0,6918.5,909015
20211116,6958.0,7006.0,6905.0,6946.5,845349
20211117,6942.0,6950.0,6840.0,6884.5,1144794
20211118,6832.0,6887.0,6783.5,6840.0,814044
20211119,6897.0,6902.5,6660.0,6709.0,1372684
20211122,6690.0,6756.5,6532.0,6575.5,1753388
20211123,6550.5,6837.0,6490.0,6829.5,1589774
20211124,6851.0,6891.0,6686.5,6814.5,1372160
20211125,6828.0,6890.5,6655.0,6661.5,1077516
20211126,6470.0,6516.5,6335.5,6374.0,2172255
20211129,6510.0,6713.0,6480.0,6616.0,1799724
20211130,6502.0,6688.5,6418.5,6513.0,2727544
20211201,6600.0,6740.5,6543.0,6576.5,1738308
20211202,6611.5,6768.0,6558.0,6732.0,1462077
20211203,6751.5,6770.0,6571.5,6639.5,842978
20211206,6691.0,6740.0,6500.0,6650.0,1173615
20211207,6664.0,6766.5,6645.0,6720.5,2165695
20211208,6721.0,6784.5,6510.0,6574.5,2076192
20211209,6594.0,6636.0,6501.5,6619.0,1226511
20211210,6624.5,6673.0,6568.5,6619.5,675304
20211213,6627.5,6700.0,6352.0,6376.0,1539741
20211214,6399.0,6628.0,5912.5,6592.0,2086211
20211215,6590.0,6625.0,6447.0,6595.0,1122102
20211216,6606.5,6779.0,6595.0,6729.0,1752666
20211217,6737.5,6765.0,6603.5,6670.0,2014417
20211220,6344.0,6368.0,6237.0,6328.5,1720877
20211221,6350.0,6428.0,6285.0,6348.5,1119339
20211222,6368.5,6393.5,6319.5,6349.5,838708
20211223,6358.5,6380.0,6285.0,6304.5,665390
20211224,6314.0,6328.0,6220.5,6313.5,385809
20211227,6321.5,6398.5,6315.0,6397.5,515565
20211228,6395.0,6559.5,6377.0,6478.0,994519
20211229,6479.0,6525.0,6421.0,6516.0,842305
20211230,6520.0,6597.0,6480.0,6573.0,768281
20220103,6594.0,6705.5,6586.0,6683.0,610482
20220104,6688.0,6741.0,6627.0,6728.0,551237
20220105,6715.5,6755.0,6501.0,6522.0,972892
20220106,6531.0,6706.0,6459.0,6699.0,906346
20220110,6734.0,6880.0,6650.5,6775.0,1238043
20220111,6789.0,6850.0,6732.5,6816.0,926213
20220112,6814.5,6969.0,6770.0,6960.0,1268243
20220113,6927.5,6951.5,6610.0,6665.0,1767371
20220114,6689.0,6791.0,6469.0,6659.0,2077158
20220117,6670.0,6734.0,6445.0,6516.0,1581418
20220118,6539.0,6587.0,6132.0,6250.0,3676120
20220119,6245.0,6670.0,6020.0,6494.0,3237209
20220120,6501.0,6683.0,6324.0,6430.0,2237744
20220121,6400.0,6514.0,6310.0,6420.0,1939997
20220124,6440.0,6479.0,6078.0,6293.0,2935601
20220125,6287.0,6562.5,6177.5,6543.0,2081885
20220126,6541.0,6690.0,6405.0,6525.5,2225376
20220127,6494.0,6900.0,6432.0,6811.5,2116895
20220128,6799.5,6945.0,6755.0,6775.0,1584785
20220131,6808.5,6910.0,6780.0,6878.0,1296147
20220201,6878.0,7013.5,6826.0,6976.0,1229086
20220202,6976.0,7050.0,6936.0,7040.0,982949
20220203,7025.0,7030.0,6794.5,6865.5,1321542
20220204,6892.0,7110.0,6892.0,7010.0,1754004
20220207,7045.0,7060.0,6825.5,6988.0,976908
20220208,6985.0,7044.0,6938.0,6957.5,931306
20220209,6976.0,7009.0,6900.0,6973.5,1546898
20220210,6969.0,7084.0,6894.0,6984.5,1378640
20220211,6973.5,7000.0,6624.5,6707.5,1888800
20220214,6684.0,6885.0,6524.5,6796.0,1949631
20220215,6825.5,7077.5,6783.0,6979.0,1778842
20220216,7014.5,7068.0,6902.5,6970.0,1179733
20220217,6956.0,6968.0,6650.0,6733.0,1739893
20220218,6740.0,6832.0,6415.0,6456.5,1700117
20220221,6481.5,6649.0,5609.5,5810.0,4537902
20220222,5805.0,6050.0,5479.0,6020.0,5901569
20220224,5400.0,5410.5,3019.5,4650.0,4687087
20220225,4400.0,5360.0,4400.0,4915.0,2013374
20220324,5315.0,5993.0,5300.0,5525.0,1192903
20220325,5605.0,5761.0,5022.0,5206.0,870511
20220328,5199.5,5199.5,4915.0,5118.0,226709
20220329,5117.5,5350.0,4800.0,4922.0,641887
20220330,5049.5,5140.0,5000.0,5140.0,286603
20220331,5112.0,5680.0,5100.0,5680.0,459292
20220401,5668.5,5868.0,5450.0,5601.0,383895
20220404,5697.5,5750.0,5395.0,5557.0,303444
20220405,5575.0,5590.0,5220.0,5314.0,244086
20220406,5313.0,5514.0,5224.5,5266.0,194786
20220407,5260.0,5356.0,5240.0,5280.0,263879
20220408,5299.5,5319.5,5087.0,5226.5,199539
20220411,5224.5,5385.0,5184.0,5190.0,144355
20220412,5209.0,5250.0,5026.0,5145.0,219794
20220413,5163.0,5209.0,5056.0,5106.0,160343
20220414,5115.5,5120.0,4862.0,4879.5,198984
20220415,4879.5,4956.0,4800.0,4893.0,151138
20220418,4919.0,4948.0,4524.0,4549.0,407382
20220419,4578.0,4585.5,4108.0,4485.0,707834
20220420,4498.5,4536.0,4215.5,4310.0,725673
20220421,4331.5,4340.0,3910.0,3974.0,1217237
20220422,3973.5,4044.0,3682.0,3828.0,1647471
20220425,3829.0,3994.0,3710.5,3931.0,557049
20220426,3970.0,4587.5,3960.5,4292.0,1353643
20220427,4325.0,4559.0,4276.0,4550.0,782779
20220428,4559.0,4740.0,4318.0,4381.0,919349
20220429,4409.0,4717.0,4380.0,4699.5,863974
20220504,4746.0,4772.5,4526.0,4552.0,441505
20220505,4604.0,4689.5,4600.5,4675.0,229873
20220506,4690.0,4690.0,4568.0,4635.5,374899
20220511,4640.0,4699.0,4539.0,4600.0,241836
20220512,4552.0,4581.0,4325.5,4362.5,525713
20220513,4402.0,4439.0,4300.0,4380.0,271089
20220516,4381.0,4669.5,4380.5,4523.5,1135843
20220517,4543.0,4589.0,4400.0,4500.0,387539
20220518,4519.0,4565.0,4480.0,4483.5,273475
20220519,4485.0,4509.5,4381.5,4415.5,229444
20220520,4419.0,4449.0,4258.0,4279.0,304512
20220523,4305.0,4350.0,4031.0,4050.0,332641
20220524,4050.0,4062.5,3882.0,3942.0,500444
20220525,3996.5,4148.0,3975.0,4148.0,338692
20220526,4160.0,4298.5,4085.0,4263.0,487892
20220527,4285.0,4359.5,4255.0,4290.0,474852
20220530,4352.0,4380.0,4100.0,4220.0,414226
20220531,4187.0,4199.0,4043.0,4061.5,303664
20220601,4050.0,4125.0,4003.0,4074.0,372370
20220602,4079.5,4085.5,3993.0,4035.0,314037
20220603,4046.0,4070.0,3930.0,3980.5,339001
20220606,3985.0,4028.0,3927.0,3940.0,290329
20220607,3948.0,3970.0,3816.0,3959.5,457366
20220608,3967.0,4050.0,3864.0,3945.5,436641
20220609,3954.0,3956.5,3865.0,3876.0,288669
20220610,3869.0,3903.0,3830.0,3898.0,360978
20220614,3886.0,3927.5,3846.0,3891.5,299077
20220615,3880.0,4125.0,3880.0,4115.0,724708
20220616,4117.0,4300.0,4105.0,4261.5,1087732
20220617,4289.5,4326.0,4137.0,4182.0,497276
20220620,4202.0,4245.0,4128.0,4209.5,458946
20220621,4232.0,4279.5,4031.5,4045.0,590179
20220622,3990.0,4179.5,3932.5,4139.0,741600
20220623,4141.0,4207.0,4076.5,4150.0,656872
20220624,4145.0,4160.0,4044.5,4100.0,313528
20220627,4100.5,4120.0,4056.0,4100.0,223245
20220628,4109.0,4109.0,3983.0,3989.5,393275
20220629,3982.0,4078.0,3920.5,4015.0,442165
20220630,3999.5,4056.5,3865.0,3905.0,750705
20220701,3915.0,4002.5,3876.0,3944.0,504326
20220704,3946.0,4095.0,3944.0,3949.5,420895
20220705,3960.0,4048.0,3905.0,4015.0,442337
20220706,4000.0,4150.0,3945.0,3962.0,602112
20220707,3965.0,4010.0,3940.0,3956.0,339066
20220708,3957.0,3980.0,3902.5,3911.0,359269
20220711,3901.0,3920.0,3802.5,3848.5,538294
20220712,3829.0,3846.0,3713.0,3752.0,501948
20220713,3756.5,3767.0,3619.0,3645.5,585122
20220714,3645.0,3710.0,3551.0,3608.0,609273
20220715,3632.0,3710.0,3580.0,3709.0,459527
20220718,3721.5,3777.0,3613.0,3645.0,383975
20220719,3647.0,3654.5,3567.0,3600.0,306593
20220720,3601.5,3664.0,3556.5,3580.0,349938
20220721,3577.0,3577.5,3482.5,3539.5,484571
20220722,3553.0,3688.0,3551.0,3688.0,574446
20220725,3672.5,3709.5,3637.0,3669.0,369214
20220726,3694.0,3825.0,3675.5,3825.0,543455
20220727,3837.5,3878.0,3810.0,3847.5,486820
20220728,3870.0,3885.0,3770.0,3831.0,422581
20220729,3830.0,3880.0,3809.5,3877.0,275835
20220801,3883.0,4030.0,3825.5,3931.0,1009710
20220802,3930.5,3965.5,3795.0,3823.0,584584
20220803,3823.0,3855.0,3784.0,3799.0,397722
20220804,3799.0,3816.0,3712.0,3720.0,374174
20220805,3722.0,3746.0,3659.5,3679.5,378870
20220808,3780.0,3819.0,3720.0,3720.0,354293
20220809,3721.0,3895.0,3701.5,3895.0,456155
20220810,3895.5,3910.0,3825.0,3890.0,451261
20220811,3895.5,3963.0,3875.0,3925.0,499631
20220812,3936.0,3979.0,3901.0,3940.5,398604
20220815,3942.0,4005.0,3904.5,3959.0,343918
20220816,3976.5,4025.0,3936.0,4018.0,430849
20220817,4022.0,4044.0,3907.0,3907.0,501586
20220818,3907.0,3942.0,3878.0,3920.0,320632
20220819,3935.5,3974.0,3894.0,3972.0,378100
20220822,3968.0,4028.5,3944.5,4017.0,395759
20220823,4023.0,4099.0,4016.0,4098.0,400005
20220824,4104.0,4128.0,4066.0,4117.0,305387
20220825,4122.5,4143.5,4047.0,4055.0,402007
20220826,4060.0,4115.0,4046.5,4115.0,279717
20220829,4110.5,4207.0,4088.5,4186.0,450055
20220830,4197.5,4220.0,4120.0,4140.0,492383
20220831,4290.0,4300.0,4161.5,4270.0,1275668
20220901,4250.5,4773.0,4221.0,4722.0,2447831
20220902,4661.0,4714.5,4556.0,4595.0,1752377
20220905,4620.0,4690.0,4483.0,4658.0,1124415
20220906,4660.0,4666.5,4410.5,4545.0,1090300
20220907,4542.0,4542.0,4420.0,4420.0,805353
20220908,4400.0,4432.5,4376.0,4410.0,423825
20220909,4429.5,4500.0,4401.5,4470.0,514328
20220912,4460.0,4591.5,4426.5,4560.0,617887
20220913,4570.0,4588.5,4510.0,4542.5,410899
20220914,4532.0,4548.0,4403.5,4472.0,794850
20220915,4470.5,4558.0,4436.0,4530.0,603254
20220916,4537.5,4580.0,4475.0,4519.0,477618
20220919,4520.0,4548.0,4445.0,4496.0,349836
20220920,4477.0,4494.0,3830.0,4055.0,2617746
20220921,3622.5,4044.0,3622.5,3955.0,1473839
20220922,3951.5,4095.5,3951.5,4011.0,729792
20220923,4014.0,4037.0,3875.0,3948.5,952243
20220926,3856.0,3882.0,3605.5,3708.0,1474555
20220927,3786.5,3924.0,3715.0,3865.0,817686
20220928,3839.5,3967.0,3806.5,3907.5,659043
20220929,3942.0,3958.0,3809.0,3882.5,752363
20220930,3897.5,4088.0,3750.0,3965.0,851600
20221003,3980.0,4092.0,3912.5,4077.0,543431
20221004,4098.0,4140.0,3961.5,4094.0,672413
20221005,4086.0,4189.0,4000.0,4102.5,827000
20221006,4116.0,4158.0,4010.0,4041.0,472546
20221007,4024.0,4030.0,3850.0,3875.0,576064
20221010,3778.0,4069.0,3757.0,4035.0,824990
20221011,4040.0,4188.0,4012.5,4170.0,664524
20221012,4184.0,4280.0,4135.0,4149.0,796900
20221013,4150.0,4261.5,4118.0,4185.5,635612
20221014,4199.0,4203.0,4090.0,4139.0,484858
20221017,4150.0,4220.0,4113.0,4212.5,515136
20221018,4250.0,4359.0,4207.0,4240.0,759619
20221019,4211.0,4277.0,4106.5,4204.5,931135
20221020,4215.0,4400.0,4180.5,4380.5,1048956
20221021,4399.0,4462.0,4350.5,4433.0,851650
20221024,4474.0,4491.0,4385.5,4439.5,629383
20221025,4465.0,4579.5,4436.0,4569.5,649858
20221026,4574.0,4624.0,4512.5,4613.5,667627
20221027,4623.5,4746.5,4592.0,4724.0,788125
20221028,4712.0,4800.0,4516.0,4700.5,2322687
20221031,4730.0,4765.0,4659.0,4695.5,641281
20221101,4725.0,4729.5,4660.0,4700.0,340130
20221102,4710.0,4788.0,4626.5,4670.0,999164
20221103,4671.0,4687.0,4620.0,4687.0,554884
20221107,4715.0,4732.0,4695.0,4723.5,678096
20221108,4723.5,4725.0,4688.0,4697.5,340660
20221109,4697.5,4713.0,4600.0,4632.0,482655
20221110,4633.5,4694.5,4625.5,4681.0,482801
20221111,4690.0,4694.0,4648.5,4670.0,368040
20221114,4681.0,4684.5,4654.0,4658.5,369108
20221115,4660.0,4676.0,4427.0,4565.0,857314
20221116,4596.0,4670.0,4576.5,4661.5,415157
20221117,4662.0,4666.0,4602.0,4621.0,260075
20221118,4583.5,4641.0,4583.5,4623.0,248612
20221121,4625.0,4625.0,4555.0,4605.5,419374
20221122,4607.5,4646.5,4581.0,4618.0,324843
20221123,4625.0,4719.0,4610.0,4679.0,611217
20221124,4680.0,4707.0,4653.0,4664.0,220840
20221125,4665.0,4678.5,4635.0,4669.0,234101
20221128,4646.5,4657.0,4590.0,4624.0,456997
20221129,4631.5,4648.0,4595.0,4602.0,455913
20221130,4604.5,4618.0,4584.0,4614.5,335321
20221201,4618.0,4623.5,4572.5,4599.5,322657
20221202,4590.0,4598.0,4574.0,4577.5,320122
20221205,4589.5,4649.0,4575.0,4619.0,914243
20221206,4632.5,4633.0,4586.0,4603.5,435963
20221207,4611.0,4612.0,4580.0,4592.5,263182
20221208,4600.0,4602.0,4565.0,4578.0,284096
20221209,4583.5,4586.0,4570.0,4583.0,224280
20221212,4593.0,4607.0,4575.0,4583.5,324101
20221213,4595.0,4595.0,4560.0,4577.5,411238
20221214,4579.0,4604.0,4560.0,4590.5,557335
20221215,4590.5,4599.5,4511.0,4521.0,721518
20221216,4525.0,4590.0,4501.0,4580.0,632828
20221219,4585.0,4625.0,4530.5,4625.0,1252262
20221220,4146.0,4146.0,3883.5,4076.0,1869037
20221221,4085.0,4095.0,3997.0,4040.5,697331
20221222,4050.0,4058.5,4017.0,4027.5,426735
20221223,4022.0,4024.5,3985.0,4010.5,412953
20221226,4014.0,4047.0,4000.0,4010.0,379388
20221227,4020.0,4035.0,4011.0,4028.5,391901
20221228,4033.0,4040.0,4010.0,4015.5,374687
20221229,4019.0,4035.0,4015.5,4022.0,273701
20221230,4029.5,4088.0,4022.5,4069.5,453881
20230103,4082.0,4139.0,4075.5,4123.5,319378
20230104,4124.0,4165.5,4090.0,4116.0,404857
20230105,4121.0,4127.0,4081.5,4087.0,175380
20230106,4088.0,4118.0,4085.0,4089.0,239592
20230109,4105.0,4123.0,4093.0,4110.0,355072
20230110,4100.0,4104.0,4063.5,4079.0,286426
20230111,4079.5,4099.0,4065.5,4090.5,263948
20230112,4091.0,4094.0,4071.0,4078.5,173973
20230113,4079.0,4090.0,4068.0,4074.0,222545
20230116,4078.5,4096.5,4045.0,4052.0,462722
20230117,4054.0,4060.5,4015.0,4025.0,326109
20230118,4038.0,4049.0,4012.0,4021.0,269871
20230119,4019.5,4020.0,3974.0,3981.0,413926
20230120,3983.5,3995.0,3925.0,3944.0,382012
20230123,3950.0,3979.5,3944.5,3972.5,339589
20230124,3986.0,3990.0,3930.5,3942.5,295072
20230125,3945.5,3960.0,3900.5,3923.5,541599
20230126,3924.0,3935.0,3901.5,3911.0,325699
20230127,3911.0,3920.0,3892.5,3917.0,473069
20230130,3929.0,3954.0,3917.0,3947.5,319695
20230131,3947.5,3972.5,3925.5,3955.0,377214
20230201,3959.5,3989.0,3935.0,3955.5,354282
20230202,3955.5,3960.0,3900.5,3918.5,567575
20230203,3917.5,3920.0,3880.0,3907.5,550188
20230206,3910.0,3946.5,3902.0,3941.0,411987
20230207,3951.0,3977.0,3931.0,3968.0,388976
20230208,3978.0,3998.5,3903.0,3930.5,532879
20230209,3949.0,3960.0,3907.5,3914.0,294748
20230210,3915.0,3969.5,3903.5,3921.5,314135
20230213,3940.0,3948.0,3911.0,3928.5,280972
20230214,3930.0,3937.0,3905.0,3914.5,287305
20230215,3903.0,3906.0,3800.0,3829.0,699575
20230216,3840.0,3873.5,3811.5,3830.0,340246
20230217,3829.0,3860.0,3802.5,3840.0,249831
20230220,3846.0,3927.5,3804.0,3905.0,450825
20230221,3912.0,3950.0,3901.5,3914.5,373178
20230222,3915.5,3925.0,3873.0,3909.5,195478
20230224,3916.0,3925.0,3880.0,3901.0,123577
20230227,3884.5,3920.0,3881.5,3903.0,316428
20230228,3905.5,4021.0,3903.0,3990.0,1173447
