date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021-06-08,262.18,262.9,259.6,260.72,20825600
2021-06-09,260.72,265.6,259.22,265.02,25953800
2021-06-10,264.68,265.18,261.2,261.92,17200900
2021-06-11,262.24,263.46,260.42,261.78,14858600
2021-06-14,262.22,264.56,261.8,263.14,9551700
2021-06-15,263.08,264.48,260.18,260.54,13646800
2021-06-16,260.2,260.22,256.52,256.64,28278900
2021-06-17,255.68,256.14,248.2,249.7,53003100
2021-06-18,249.48,251.18,246.78,250.0,36933600
2021-06-21,249.8,253.88,247.54,253.72,25199500
2021-06-22,254.42,254.82,249.14,250.78,21140100
2021-06-23,251.28,254.66,249.5,253.36,26041100
2021-06-24,253.6,253.7,237.86,243.58,69077300
2021-06-25,244.04,247.96,241.82,247.34,23146700
2021-06-28,247.54,250.84,247.0,249.48,17237200
2021-06-29,248.88,249.06,244.0,247.02,21588100
2021-06-30,247.2,250.18,244.8,248.12,26036900
2021-07-01,248.14,249.48,245.1,246.12,17526100
2021-07-02,246.12,250.8,244.94,250.14,19810000
2021-07-05,250.9,252.24,247.38,249.24,16763200
2021-07-06,249.5,249.5,244.0,244.62,24177600
2021-07-07,244.96,249.5,244.62,246.58,17725100
2021-07-08,246.9,247.6,243.12,245.14,23525100
2021-07-09,244.84,249.4,244.28,247.8,21247000
2021-07-12,248.1,251.9,246.24,251.12,22018400
2021-07-13,251.48,257.28,249.88,256.62,32177100
2021-07-14,256.62,258.48,253.0,257.34,24888600
2021-07-15,257.14,259.5,255.24,256.24,21046300
2021-07-16,257.16,257.38,251.14,252.48,19367700
2021-07-19,251.3,252.5,247.8,250.46,24010400
2021-07-20,251.74,253.9,249.16,251.38,16834900
2021-07-21,251.06,252.82,249.12,250.5,11636500
2021-07-22,251.2,251.74,248.48,250.8,11216200
2021-07-23,251.16,252.0,249.0,249.9,12996800
2021-07-26,248.5,251.84,248.06,251.8,12313900
2021-07-27,251.2,256.26,249.72,254.32,28991100
2021-07-28,254.7,257.78,253.8,256.9,18380800
2021-07-29,257.52,258.1,248.86,251.78,54279300
2021-07-30,250.9,253.32,249.5,253.18,24843500
2021-08-02,254.0,255.8,252.22,252.9,14658800
2021-08-03,253.38,256.0,252.34,255.82,15422100
2021-08-04,255.84,257.46,253.32,254.46,14936000
2021-08-05,254.38,256.0,253.14,254.96,14729700
2021-08-06,255.66,255.86,250.8,251.02,13629600
2021-08-09,250.96,251.28,246.84,248.7,24392800
2021-08-10,249.02,250.4,245.04,246.5,24646900
2021-08-11,246.5,247.36,244.72,245.28,17851200
2021-08-12,246.44,248.14,245.3,247.0,16263700
2021-08-13,246.7,247.38,244.14,244.6,10650900
2021-08-16,244.02,245.54,242.1,244.26,17990900
2021-08-17,244.0,247.86,243.62,245.72,19626000
2021-08-18,246.82,247.0,241.22,241.46,17068300
2021-08-19,240.84,241.9,236.0,237.36,29296500
2021-08-20,237.3,238.78,234.8,235.5,23191100
2021-08-23,237.72,238.96,235.9,238.58,17686900
2021-08-24,239.7,240.92,236.6,240.66,17854300
2021-08-25,240.6,240.72,237.98,239.32,12444700
2021-08-26,238.9,240.14,236.8,237.12,14679400
2021-08-27,237.46,239.9,236.9,239.86,12509200
2021-08-30,240.2,243.98,239.98,242.66,16480800
2021-08-31,243.96,245.62,239.54,240.32,27151400
2021-09-01,240.72,242.5,238.8,242.28,19801500
2021-09-02,241.56,242.0,238.68,238.8,24800300
2021-09-03,239.38,244.9,239.38,244.42,31402000
2021-09-06,245.08,247.84,245.0,246.58,21153000
2021-09-07,246.58,246.84,242.96,243.76,14068000
2021-09-08,243.04,244.74,241.34,242.6,22372500
2021-09-09,242.02,243.08,239.78,239.8,18553900
2021-09-10,240.84,245.44,240.6,245.08,18585500
2021-09-13,245.6,247.1,243.3,244.92,23242200
2021-09-14,244.2,244.28,239.0,240.44,30213300
2021-09-15,239.98,241.2,236.82,239.78,27856100
2021-09-16,239.2,239.72,232.96,234.84,41688600
2021-09-17,234.32,238.2,229.7,232.56,63884700
