date,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021-10-18,369.35,369.91,363.75,364.6,38112280
2021-10-19,365.68,373.4,361.5,373.18,40008020
2021-10-20,371.83,371.97,367.1,370.16,27515020
2021-10-21,368.2,371.14,363.2,364.6,24461840
2021-10-22,364.06,370.39,362.37,364.37,26322460
2021-10-25,366.19,371.7,361.68,369.99,35623260
2021-10-26,369.89,374.63,365.66,372.16,41746810
2021-10-27,371.0,374.0,366.51,371.36,36305740
2021-10-28,370.5,374.92,362.32,365.36,53785930
2021-10-29,364.33,364.33,352.68,356.14,53476690
2021-11-01,356.14,371.47,356.14,370.96,55120560
2021-11-02,370.98,374.0,367.2,370.7,37697650
2021-11-03,370.0,370.5,365.03,370.13,30833580
2021-11-05,366.98,367.56,358.5,360.21,39012570
2021-11-08,362.59,363.97,355.6,358.39,39658600
2021-11-09,358.41,364.58,355.6,357.44,41687090
2021-11-10,356.68,358.8,348.0,348.65,46528570
2021-11-11,350.14,357.89,347.22,356.24,42860130
2021-11-12,356.24,356.37,339.68,347.59,100664120
2021-11-15,348.67,352.8,342.76,344.39,59812240
2021-11-16,345.91,346.47,336.01,337.91,61959550
2021-11-17,338.0,343.57,336.6,339.89,49464380
2021-11-18,338.9,343.12,333.5,336.93,47108510
2021-11-19,339.37,339.99,325.7,327.56,66943180
2021-11-22,326.03,326.39,306.67,309.15,144324090
2021-11-23,306.28,327.01,300.1,326.84,144820750
2021-11-24,328.0,329.97,317.35,321.22,77871110
2021-11-25,322.37,322.96,316.11,317.29,44048010
2021-11-26,307.13,312.0,303.22,304.42,90384610
2021-11-29,311.14,322.15,309.42,316.57,82133140
2021-11-30,311.0,318.58,310.09,315.0,98128940
2021-12-01,321.35,329.44,319.51,324.4,69783520
2021-12-02,325.21,329.0,320.54,326.8,61404320
2021-12-03,327.6,328.95,318.4,320.66,43075790
2021-12-06,322.0,324.16,304.18,307.5,99674420
2021-12-07,307.5,313.03,300.5,309.79,154149090
2021-12-08,310.97,316.88,291.57,296.95,241030570
2021-12-09,297.49,304.94,292.5,300.4,133927110
2021-12-10,300.41,304.28,294.43,297.44,82043690
2021-12-13,298.28,300.99,280.08,280.64,146306320
2021-12-14,280.21,286.09,261.5,284.9,176473700
2021-12-15,285.0,287.79,279.44,286.65,87516430
2021-12-16,287.75,298.7,286.2,295.89,134776020
2021-12-17,295.0,296.73,291.61,294.9,109764650
2021-12-20,293.11,293.11,285.63,288.4,79622500
2021-12-21,289.8,293.4,286.76,291.7,64919700
2021-12-22,291.83,297.23,289.23,294.0,63855050
2021-12-23,294.68,298.1,291.26,292.8,55531330
2021-12-24,293.0,294.18,289.0,293.89,37669750
2021-12-27,294.79,296.0,293.37,295.68,35728530
2021-12-28,295.84,297.55,294.18,295.0,37853360
2021-12-29,295.05,295.55,291.33,293.51,37668260
2021-12-30,293.61,294.89,291.52,293.49,42566850
2022-01-03,295.9,305.5,294.34,305.47,50156260
2022-01-04,305.51,310.1,301.63,304.24,53268220
2022-01-05,303.56,304.26,287.0,287.01,70015940
2022-01-06,286.86,295.1,281.0,293.92,79329410
2022-01-10,295.53,298.88,288.68,291.69,67393720
2022-01-11,292.93,293.94,288.71,291.88,58894910
2022-01-12,292.5,292.92,285.05,290.4,81815210
2022-01-13,289.69,290.37,269.9,272.5,211547650
2022-01-14,272.39,277.98,249.2,261.0,406232780
2022-01-17,262.2,264.01,247.0,257.78,248613210
2022-01-18,258.8,259.39,228.09,234.7,484049150
2022-01-19,232.89,249.0,221.03,244.86,360884470
2022-01-20,244.12,263.0,240.01,254.61,329059220
2022-01-21,252.98,259.08,246.0,246.9,295614320
2022-01-24,246.51,249.88,226.0,236.97,325615680
2022-01-25,236.99,243.55,231.0,239.59,232503340
2022-01-26,240.06,245.17,233.3,236.9,224800440
2022-01-27,234.99,260.0,233.1,254.29,301187890
2022-01-28,255.86,262.0,252.02,257.82,204153960
2022-01-31,258.88,269.6,258.81,269.42,156087540
2022-02-01,269.71,273.1,260.56,264.7,170357700
2022-02-02,265.8,266.91,254.52,261.0,170198890
2022-02-03,258.45,259.87,250.06,250.79,151127560
2022-02-04,251.99,259.74,251.91,256.53,126990670
2022-02-07,257.0,260.53,253.52,257.61,85547520
2022-02-08,257.61,269.9,256.52,269.8,161498400
2022-02-09,270.01,279.71,270.0,279.09,193232800
2022-02-10,279.21,282.3,273.67,275.2,180119880
2022-02-11,274.88,275.87,259.61,260.83,213783420
2022-02-14,256.69,259.5,245.1,256.7,357398630
2022-02-15,257.6,274.0,257.51,274.0,271473810
2022-02-16,276.88,281.0,274.15,277.78,195684110
