date,CLOSE,OPEN,HIGH,LOW
2020-12-24,3236.88,3253.73,3264.6,3230.62
2020-12-25,3246.35,3236.38,3248.63,3228.74
2020-12-28,3258.95,3249.41,3267.61,3249.41
2020-12-29,3274.67,3269.71,3282.23,3264.33
2020-12-30,3289.02,3276.04,3294.62,3267.39
2021-01-04,3350.51,3306.12,3350.81,3304.17
2021-01-05,3359.15,3327.94,3365.32,3301.88
2021-01-06,3371.03,3373.37,3380.63,3344.43
2021-01-08,3454.82,3390.23,3474.66,3390.23
2021-01-11,3482.48,3455.67,3516.9,3436.66
2021-01-12,3471.65,3494.6,3520.66,3451.87
2021-01-13,3470.26,3487.92,3504.56,3448.94
2021-01-14,3490.85,3461.83,3507.71,3439.01
2021-01-15,3450.95,3486.02,3509.24,3448.54
2021-01-18,3471.92,3440.56,3475.18,3426.11
2021-01-19,3443.23,3479.53,3491.93,3439.64
2021-01-20,3466.8,3453.54,3482.03,3447.81
2021-01-21,3422.67,3481.74,3489.07,3407.22
2021-01-22,3382.92,3404.36,3404.36,3362.01
2021-01-25,3397.48,3399.28,3425.78,3385.74
2021-01-26,3390.76,3384.99,3408.13,3374.1
2021-01-27,3343.62,3398.38,3408.64,3333.04
2021-01-28,3342.01,3319.16,3359.1,3307.42
2021-01-29,3277.08,3335.13,3337.01,3272.53
2021-02-01,3291.14,3287.96,3305.91,3268.52
2021-02-02,3360.25,3324.24,3366.13,3321.7
2021-02-03,3343.46,3351.99,3376.83,3332.5
2021-02-04,3372.0,3356.23,3384.48,3351.94
2021-02-05,3392.73,3396.97,3406.22,3368.58
2021-02-08,3445.9,3412.97,3448.79,3412.97
2021-02-09,3426.86,3461.15,3466.51,3424.39
2021-02-10,3399.66,3437.76,3447.05,3393.98
2021-02-11,3414.32,3405.33,3416.4,3390.22
2021-02-12,3427.08,3403.07,3427.08,3343.82
2021-02-15,3481.9,3461.94,3483.34,3455.95
2021-02-16,3495.26,3502.04,3510.77,3475.58
2021-02-17,3436.8,3491.81,3505.19,3431.83
2021-02-18,3400.17,3451.69,3461.15,3395.98
2021-02-19,3457.68,3398.4,3460.85,3380.89
2021-02-20,3446.32,3454.43,3455.13,3435.42
2021-02-22,3433.93,3447.57,3456.26,3415.37
2021-02-24,3385.48,3426.07,3433.09,3385.01
2021-02-25,3409.76,3412.16,3429.2,3391.77
2021-02-26,3346.64,3354.45,3385.74,3332.32
2021-03-01,3386.16,3369.68,3393.93,3354.09
2021-03-02,3410.1,3380.35,3418.11,3375.48
2021-03-03,3416.04,3432.88,3450.76,3408.47
2021-03-04,3397.56,3403.01,3416.04,3366.76
2021-03-05,3414.13,3378.68,3432.98,3367.33
2021-03-09,3478.72,3426.48,3491.12,3426.33
2021-03-10,3463.06,3476.91,3514.35,3455.42
2021-03-11,3508.51,3481.26,3508.51,3472.4
2021-03-12,3539.5,3515.44,3539.5,3502.37
2021-03-15,3584.49,3562.69,3596.31,3558.62
2021-03-16,3589.83,3600.68,3602.18,3544.29
2021-03-17,3507.91,3579.06,3587.24,3498.17
2021-03-18,3504.85,3533.69,3551.3,3494.99
2021-03-19,3475.26,3473.84,3495.98,3448.99
2021-03-22,3489.07,3479.06,3498.17,3469.09
2021-03-23,3467.21,3481.11,3483.34,3450.98
2021-03-24,3485.33,3459.99,3489.96,3445.92
2021-03-25,3439.3,3477.87,3479.83,3434.84
2021-03-26,3489.83,3476.01,3500.74,3476.01
2021-03-29,3529.33,3500.41,3535.21,3498.62
2021-03-30,3525.23,3535.72,3549.09,3504.06
2021-03-31,3541.72,3525.56,3542.0,3510.4
2021-04-01,3527.54,3556.28,3576.79,3526.22
2021-04-02,3558.22,3553.89,3564.31,3538.01
2021-04-05,3524.93,3555.24,3555.83,3516.22
2021-04-06,3493.89,3536.26,3541.04,3484.84
2021-04-07,3500.34,3484.22,3518.13,3460.39
2021-04-08,3507.83,3513.21,3528.39,3495.34
2021-04-09,3486.03,3510.2,3511.27,3480.85
2021-04-12,3522.65,3476.51,3541.7,3472.37
2021-04-13,3526.3,3533.3,3542.63,3511.23
2021-04-14,3576.89,3567.53,3576.89,3546.86
2021-04-15,3568.51,3532.13,3578.77,3527.5
2021-04-16,3598.44,3578.01,3598.44,3564.97
2021-04-19,3574.08,3598.47,3605.49,3565.39
2021-04-20,3552.41,3581.37,3596.19,3536.41
2021-04-21,3561.72,3554.83,3572.63,3545.15
2021-04-22,3600.35,3576.69,3607.75,3557.88
2021-04-23,3597.17,3598.76,3600.18,3579.25
2021-04-26,3610.98,3603.13,3613.37,3589.27
2021-04-27,3600.6,3615.57,3627.91,3586.39
2021-04-28,3578.12,3608.89,3613.11,3558.24
2021-04-29,3571.05,3609.38,3616.95,3565.58
2021-04-30,3544.0,3574.03,3584.64,3536.53
2021-05-04,3577.21,3557.62,3594.69,3556.08
2021-05-05,3643.56,3602.17,3644.15,3600.88
2021-05-06,3658.27,3636.71,3661.28,3634.45
2021-05-07,3682.69,3678.19,3688.81,3667.77
2021-05-10,3694.78,3684.18,3713.49,3675.13
2021-05-11,3652.05,3644.29,3658.81,3625.97
2021-05-12,3654.14,3659.63,3674.35,3643.22
2021-05-13,3637.38,3634.18,3647.27,3600.8
2021-05-14,3637.6,3654.73,3659.34,3623.72
2021-05-17,3639.61,3645.13,3658.78,3618.75
2021-05-18,3687.96,3670.16,3700.19,3670.1
2021-05-19,3634.76,3693.82,3693.82,3619.54
2021-05-20,3636.16,3650.07,3658.27,3603.4
2021-05-21,3660.48,3637.5,3667.87,3620.6
2021-05-24,3662.51,3665.96,3674.77,3651.09
2021-05-25,3686.76,3682.42,3693.39,3672.27
2021-05-26,3711.05,3695.29,3717.33,3694.13
2021-05-27,3738.68,3708.77,3738.68,3694.59
2021-05-28,3730.55,3750.46,3752.8,3724.52
2021-05-31,3721.63,3713.99,3731.27,3713.99
2021-06-01,3764.59,3739.57,3784.59,3739.57
2021-06-02,3817.68,3771.32,3817.68,3769.47
2021-06-03,3805.45,3833.77,3837.73,3777.98
2021-06-04,3807.43,3805.94,3816.24,3766.62
2021-06-07,3822.21,3807.96,3827.66,3793.96
2021-06-08,3807.43,3819.52,3833.17,3799.07
2021-06-09,3843.28,3821.8,3843.41,3805.82
2021-06-10,3827.71,3835.21,3847.89,3822.01
2021-06-11,3841.53,3838.98,3849.32,3828.62
2021-06-14,3860.18,3845.81,3862.39,3842.75
2021-06-15,3822.4,3864.36,3865.2,3819.64
2021-06-16,3829.67,3821.45,3836.91,3803.54
2021-06-17,3819.07,3807.32,3832.61,3801.98
2021-06-18,3802.95,3809.99,3813.5,3775.82
2021-06-21,3813.45,3797.23,3816.85,3785.49
2021-06-22,3821.68,3831.61,3835.86,3809.71
2021-06-23,3837.15,3836.12,3847.22,3820.5
2021-06-24,3823.44,3833.73,3839.64,3800.5
2021-06-25,3831.84,3818.97,3833.32,3805.7
2021-06-28,3825.57,3833.72,3852.83,3822.81
2021-06-29,3790.85,3817.72,3821.59,3768.24
2021-06-30,3841.85,3799.42,3847.3,3779.28
2021-07-01,3858.32,3843.28,3879.5,3843.16
2021-07-02,3865.42,3853.81,3877.23,3843.9
2021-07-05,3882.59,3874.81,3882.59,3863.09
2021-07-06,3884.3,3896.82,3915.0,3878.39
2021-07-07,3895.1,3881.88,3912.39,3879.72
2021-07-08,3861.08,3882.15,3883.47,3839.4
2021-07-09,3855.31,3865.62,3874.96,3850.57
2021-07-12,3875.61,3864.26,3882.6,3848.45
2021-07-13,3877.03,3888.32,3891.54,3852.54
