date,int_rate
2020-10-23,4.25
2020-10-22,4.25
2020-10-21,4.25
2020-10-20,4.25
2020-10-19,4.25
2020-10-16,4.25
2020-10-15,4.25
2020-10-14,4.25
2020-10-13,4.25
2020-10-12,4.25
2020-10-09,4.25
2020-10-08,4.25
2020-10-07,4.25
2020-10-06,4.25
2020-10-05,4.25
2020-10-02,4.25
2020-10-01,4.25
2020-09-30,4.25
2020-09-29,4.25
2020-09-28,4.25
2020-09-25,4.25
2020-09-24,4.25
2020-09-23,4.25
2020-09-22,4.25
2020-09-21,4.25
2020-09-18,4.25
2020-09-17,4.25
2020-09-16,4.25
2020-09-15,4.25
2020-09-14,4.25
2020-09-11,4.25
2020-09-10,4.25
2020-09-09,4.25
2020-09-08,4.25
2020-09-07,4.25
2020-09-04,4.25
2020-09-03,4.25
2020-09-02,4.25
2020-09-01,4.25
2020-08-31,4.25
2020-08-28,4.25
2020-08-27,4.25
2020-08-26,4.25
2020-08-25,4.25
2020-08-24,4.25
2020-08-21,4.25
2020-08-20,4.25
2020-08-19,4.25
2020-08-18,4.25
2020-08-17,4.25
2020-08-14,4.25
2020-08-13,4.25
2020-08-12,4.25
2020-08-11,4.25
2020-08-10,4.25
2020-08-07,4.25
2020-08-06,4.25
2020-08-05,4.25
2020-08-04,4.25
2020-08-03,4.25
2020-07-31,4.25
2020-07-30,4.25
2020-07-29,4.25
2020-07-28,4.25
2020-07-27,4.25
2020-07-24,4.5
2020-07-23,4.5
2020-07-22,4.5
2020-07-21,4.5
2020-07-20,4.5
2020-07-17,4.5
2020-07-16,4.5
2020-07-15,4.5
2020-07-14,4.5
2020-07-13,4.5
2020-07-10,4.5
2020-07-09,4.5
2020-07-08,4.5
2020-07-07,4.5
2020-07-06,4.5
2020-07-03,4.5
2020-07-02,4.5
2020-06-30,4.5
2020-06-29,4.5
2020-06-26,4.5
2020-06-25,4.5
2020-06-23,4.5
2020-06-22,4.5
2020-06-19,5.5
2020-06-18,5.5
2020-06-17,5.5
2020-06-16,5.5
2020-06-15,5.5
2020-06-11,5.5
2020-06-10,5.5
2020-06-09,5.5
2020-06-08,5.5
2020-06-05,5.5
